target,arch,units,num_layers,dropout,lr,lookback,val_rmse_scaled,is_best,test_MAPE,test_RMSE,test_MAE,test_R2
TSS,LSTM,32,2,0.1,0.001,4,0.13968030405924614,False,,,,
TSS,LSTM,32,2,0.2,0.001,4,0.13968845220962373,False,,,,
TSS,LSTM,32,2,0.1,0.001,8,0.13977304181463027,False,,,,
TSS,LSTM,32,2,0.2,0.001,8,0.13977736517063807,False,,,,
TSS,LSTM,32,2,0.1,0.0001,4,0.1403997273909386,False,,,,
TSS,LSTM,32,2,0.2,0.0001,4,0.14043106654077647,False,,,,
TSS,LSTM,32,2,0.1,0.0001,8,0.14043468047326346,False,,,,
TSS,LSTM,32,2,0.2,0.0001,8,0.14041569736916834,False,,,,
TSS,LSTM,64,1,0.0,0.001,4,0.13488594765199843,False,,,,
TSS,LSTM,64,1,0.0,0.001,8,0.1369306722951528,False,,,,
TSS,LSTM,64,1,0.0,0.0001,4,0.1391663624232882,False,,,,
TSS,LSTM,64,1,0.0,0.0001,8,0.1381869323111493,False,,,,
TSS,LSTM,64,2,0.1,0.001,4,0.1385646608428936,False,,,,
TSS,LSTM,64,2,0.2,0.001,4,0.13855458027007667,False,,,,
TSS,LSTM,64,2,0.1,0.001,8,0.13951899431427947,False,,,,
TSS,LSTM,64,2,0.2,0.001,8,0.13953136071374822,False,,,,
TSS,LSTM,64,2,0.1,0.0001,4,0.14031671202843382,False,,,,
TSS,LSTM,64,2,0.2,0.0001,4,0.1403219133099605,False,,,,
TSS,LSTM,64,2,0.1,0.0001,8,0.1403486572483045,False,,,,
TSS,LSTM,64,2,0.2,0.0001,8,0.1403788306048205,False,,,,
TSS,GRU,32,1,0.0,0.001,4,0.13154459699544827,False,,,,
TSS,GRU,32,1,0.0,0.001,8,0.1339662390854688,False,,,,
TSS,GRU,32,1,0.0,0.0001,4,0.13723629744563381,False,,,,
TSS,GRU,32,1,0.0,0.0001,8,0.13563726884969698,False,,,,
TSS,GRU,32,2,0.1,0.001,4,0.1384037607952759,False,,,,
TSS,GRU,32,2,0.2,0.001,4,0.13846078763997915,False,,,,
TSS,GRU,32,2,0.1,0.001,8,0.13938997452311205,False,,,,
TSS,GRU,32,2,0.2,0.001,8,0.13940471655787479,False,,,,
TSS,GRU,32,2,0.1,0.0001,4,0.13956157757351334,False,,,,
TSS,GRU,32,2,0.2,0.0001,4,0.13959881374349886,False,,,,
TSS,GRU,32,2,0.1,0.0001,8,0.14027380694407351,False,,,,
TSS,GRU,32,2,0.2,0.0001,8,0.1402852577088227,False,,,,
TSS,GRU,64,1,0.0,0.001,4,0.13532848395346347,False,,,,
TSS,GRU,64,1,0.0,0.001,8,0.13587794054200064,False,,,,
TSS,GRU,64,1,0.0,0.0001,4,0.14059480872839852,False,,,,
TSS,GRU,64,1,0.0,0.0001,8,0.137118844984964,False,,,,
TSS,GRU,64,2,0.1,0.001,4,0.1284764282258336,False,,,,
TSS,GRU,64,2,0.2,0.001,4,0.13649188196819356,False,,,,
TSS,GRU,64,2,0.1,0.001,8,0.1395128627058902,False,,,,
TSS,GRU,64,2,0.2,0.001,8,0.13947611453655812,False,,,,
TSS,GRU,64,2,0.1,0.0001,4,0.13934530676912954,False,,,,
TSS,GRU,64,2,0.2,0.0001,4,0.1393705823651524,False,,,,
TSS,GRU,64,2,0.1,0.0001,8,0.140531051433076,False,,,,
TSS,GRU,64,2,0.2,0.0001,8,0.14046500362772335,False,,,,
TSS,GRU,64,2,0.1,0.001,4,0.1284764282258336,True,95.4988291516282,1.8089629466592019,1.533658750595585,-0.05298021484443027
